instance,hvns,dabc,acols.lowEva,ils.neh,hvns.tuned,dabc.tuned
f2total-100-m2const-bufcount-small-3-1,1,1.66666666666667,1.66666666666667,1.16833333333333,1,1.66666666666667
f2total-100-m2const-bufcount-small-3-2,1,1.83333333333333,1.66666666666667,1.165,1,1.66666666666667
f2total-100-m2const-bufcount-small-3-3,1,1.66666666666667,1.66666666666667,1.165,1,6
f2total-100-m2const-bufm1-big-127-1,4,2,6,1,5,3
f2total-100-m2const-bufm1-big-129-3,2,3.19997062254025,6,1,3.29997828339937,3
f2total-100-m2const-bufm1-big-130-2,2.99999121133161,2,6,1,2.77777300876162,2.99995155677094
f2total-100-m2const-bufm1-mid-127-1,5,2,6,1,4,3
f2total-100-m2const-bufm1-mid-129-3,4.99991686308272,3,6,1,4,2
f2total-100-m2const-bufm1-mid-130-2,4,3,6,1,5,2
f2total-100-m2const-bufm1-small-127-1,5,3,6,1,4,2
f2total-100-m2const-bufm1-small-129-3,5,1,1,1.235,6,1
f2total-100-m2const-bufm1-small-130-2,4,3,6,1,5,2
f2total-150-m2const-bufcount-big-3-1,2.16666666666667,1.66666666666667,1.66666666666667,1,2.16666666666667,1.66666666666667
f2total-150-m2const-bufcount-big-3-2,2.16666666666667,1.66666666666667,1.66666666666667,1,2.16666666666667,1.66666666666667
f2total-150-m2const-bufcount-big-3-3,2.16666666666667,1.66666666666667,1.66666666666667,1,2.16666666666667,1.66666666666667
f2total-150-m2const-bufcount-mid-3-1,1.12540192926045,1.60771704180064,1.60771704180064,1,1.12540192926045,1.60771704180064
f2total-150-m2const-bufcount-mid-3-2,3.96219512195122,1.61951219512195,6,1,4.00365853658537,2.26829268292683
f2total-150-m2const-bufcount-mid-3-3,5,3,6,1,4,2
f2total-150-m2const-bufcount-small-3-1,1,2.2,2,1.236,1,2
f2total-150-m2const-bufcount-small-3-2,1,1.66666666666667,1.66666666666667,1,1,1.66666666666667
f2total-150-m2const-bufcount-small-3-3,1,2,2,1.218,1.2,2
f2total-150-m2const-bufm1-big-124-2,3,4,6,1,5,2
f2total-150-m2const-bufm1-big-125-1,4,2,6,1,5,3
f2total-150-m2const-bufm1-big-126-3,3.44444535184148,2,6,1,4.55553654836546,2.99998507794839
f2total-150-m2const-bufm1-mid-124-2,3.85715545902723,2.71426167580862,2.57140579211952,1,3.7142960468105,1.57142664900346
f2total-150-m2const-bufm1-mid-125-1,5,2,6,1,4,3
f2total-150-m2const-bufm1-mid-126-3,4.49996638413451,2,6,1,4,2.49997301730975
