instance,hvns,dabc,acols.lowEva,ils.neh,hvns.tuned,dabc.tuned
f2total-150-m2const-bufm1-big-126-3,4,2,5.28922466674847,1,4.83284875655214,2.79290178092183
f2total-150-m2const-bufm1-mid-124-2,5.61028273991089,1.94013771716285,1.84582524503412,1,5,1.42806537515979
f2total-150-m2const-bufm1-mid-125-1,5,2,4,1,6,2.77353416249025
f2total-150-m2const-bufm1-mid-126-3,4.88017035155131,1.91949843427144,4,1,5.01044881568641,2.07170557475146
f2total-150-m2const-bufm1-small-124-2,5,3,3,1,6,2
f2total-150-m2const-bufm1-small-125-1,6,2,4,1,5,3
f2total-150-m2const-bufm1-small-126-3,5,1.06204963971177,1.06204963971177,1,5.53810539925961,1.06204963971177
f2total-50-m2const-bufcount-big-3-1,1,1,1,1,1,1
f2total-50-m2const-bufcount-big-3-2,1,1,1,1,1,1
f2total-50-m2const-bufcount-big-3-3,1,1,1,1,1,1
f2total-50-m2const-bufcount-mid-3-1,1,1,1,1.00671892873966,1,1
f2total-50-m2const-bufcount-mid-3-2,1.02403038784486,1.01677147322889,1.00371851259496,1,1.02543043388705,1.0156837265094
f2total-50-m2const-bufcount-mid-3-3,5,3,2,1,4,6
f2total-50-m2const-bufcount-small-3-1,1,1,1,1,1,1
f2total-50-m2const-bufcount-small-3-2,1,1,1,1,1,1
f2total-50-m2const-bufcount-small-3-3,1,1,1,1,1,1
f2total-50-m2const-bufm1-big-120-2,2.73543692159483,2,3.50065731882956,1,2.38147244362933,2.90311513207474
f2total-50-m2const-bufm1-big-124-1,1.8093630336608,1.73813466459354,2.0390201862747,1,1.99294876544623,1.51561699913131
f2total-50-m2const-bufm1-big-139-3,2.47415004867517,2.16179884384799,3.82975228727111,1,2,2.74117309440213
f2total-50-m2const-bufm1-mid-120-2,4,2,6,1,3,4.68711045619996
f2total-50-m2const-bufm1-mid-124-1,2.25307206527211,1.90919292007549,2.40474884918871,1,2.3954659247716,1.70181903832186
f2total-50-m2const-bufm1-mid-139-3,2.77959866007743,2,3.52716787066157,1,2.84552872600106,2.12609211146127
f2total-50-m2const-bufm1-small-120-2,5,2.19320674393568,2,1,6,2.19320674393568
f2total-50-m2const-bufm1-small-124-1,6,1.62059509140899,1.66791418602246,1,5,1.48811077912063
f2total-50-m2const-bufm1-small-139-3,6,3,4,1.95816906190304,5,1
