instance,hvns,dabc,acols.lowEva,ils.neh,hvns.tuned,dabc.tuned
f2total-100-m2const-bufm1-small-127-1,1.08166811468288,1.04621848739496,1.30571578395385,1,1.07605877268799,1.04621848739496
f2total-100-m2const-bufm1-small-129-3,1.22418879056047,1.02216748768473,1.02216748768473,1,1.24375624375624,1.02469135802469
f2total-100-m2const-bufm1-small-130-2,1.10372340425532,1.02216748768473,1.02469135802469,1,1.09498680738786,1.02469135802469
f2total-150-m2const-bufcount-big-3-1,1.0375,1.0375,1.0375,1,1.0375,1.00728155339806
f2total-150-m2const-bufcount-big-3-2,1.04621848739496,1.04140526976161,1.04621848739496,1,1.04621848739496,1.0319104848736
f2total-150-m2const-bufcount-big-3-3,1.03319502074689,1.03319502074689,1.03319502074689,1,1.03319502074689,1.01965601965602
f2total-150-m2const-bufcount-mid-3-1,1,1.03319502074689,1.03319502074689,1,1,1.03319502074689
f2total-150-m2const-bufcount-mid-3-2,1,1.03319502074689,1.03319502074689,1,1,1.03319502074689
f2total-150-m2const-bufcount-mid-3-3,1,1.03319502074689,5,1,1,1.03319502074689
f2total-150-m2const-bufcount-small-3-1,1,1.04534005037783,1.02977667493797,1,1,1.05063291139241
f2total-150-m2const-bufcount-small-3-2,1,1.04534005037783,1.05063291139241,1,1,1.05063291139241
f2total-150-m2const-bufcount-small-3-3,1,1.04140526976161,1.04621848739496,1,1,1.04621848739496
f2total-150-m2const-bufm1-big-124-2,1.35032537960954,1.06410256410256,1.05732484076433,1,1.28682170542636,1.06410256410256
f2total-150-m2const-bufm1-big-125-1,4.21319796954315,1.13439635535308,6,1,3.81316998468606,1.12669683257919
f2total-150-m2const-bufm1-big-126-3,1.78239083750895,1.17342130065975,5.22321428571429,1,2.22321428571429,1.14220183486239
f2total-150-m2const-bufm1-mid-124-2,3,3,3,1,3,2
f2total-150-m2const-bufm1-mid-125-1,2,2,2,1,2,2
f2total-150-m2const-bufm1-mid-126-3,2,2,2,1,2,2
f2total-150-m2const-bufm1-small-124-2,1.43764434180139,1.05508474576271,1.05508474576271,1,1.75847457627119,1.05508474576271
f2total-150-m2const-bufm1-small-125-1,1.2158203125,1.05508474576271,1.05508474576271,1,1.20057859209257,1.04930467762326
f2total-150-m2const-bufm1-small-126-3,1.22962962962963,1.0418410041841,1.0418410041841,1,1.24313529705442,1.0418410041841
f2total-50-m2const-bufcount-big-3-1,1.00403225806452,1.00403225806452,1,1,1.00403225806452,1
f2total-50-m2const-bufcount-big-3-2,1.00403225806452,1.00403225806452,1.00322320709106,1,1.00403225806452,1.00040176777822
f2total-50-m2const-bufcount-big-3-3,1.00403225806452,1.00403225806452,1.00403225806452,1,1.00403225806452,1.00403225806452
f2total-50-m2const-bufcount-mid-3-1,1,1,1,1,1,1
f2total-50-m2const-bufcount-mid-3-2,1,1,1.00040176777822,1,1,1
f2total-50-m2const-bufcount-mid-3-3,1.00975609756098,1.00566801619433,1.00161290322581,1,1.0101667344449,1.00526102792392
f2total-50-m2const-bufcount-small-3-1,1,1.0024154589372,1.00201207243461,1,1,1.00322320709106
f2total-50-m2const-bufcount-small-3-2,1,1.00120627261761,1,1,1,1.00160901045857
f2total-50-m2const-bufcount-small-3-3,1,1.00281917035844,1.00281917035844,1,1,1.00403225806452
f2total-50-m2const-bufm1-big-120-2,1.03233830845771,1.00362756952842,1.00362756952842,1,1.03879849812265,1.00040176777822
f2total-50-m2const-bufm1-big-124-1,1.11730337078652,1.00241935483871,1,1.05249788314987,1.33012306046014,1
f2total-50-m2const-bufm1-big-139-3,1.01371571072319,1.00993788819876,1.18975609756098,1.0012315270936,1.01203319502075,1
f2total-50-m2const-bufm1-mid-120-2,2,3,3,1,3,3
f2total-50-m2const-bufm1-mid-124-1,3,3,3,1,2,3
f2total-50-m2const-bufm1-mid-139-3,2.75525339925834,1.49196787148594,6,1,3.57784911717496,1.61054913294798
f2total-50-m2const-bufm1-small-120-2,1.01178382771231,1.00160901045857,1.0008038585209,1,1.01178382771231,1.00281917035844
f2total-50-m2const-bufm1-small-124-1,1.05430632159525,1,1.00080547724527,1.00688816855754,1.09039052215884,1.00040257648953
f2total-50-m2const-bufm1-small-139-3,2.95593635250918,1.14726840855107,1.33351739370514,1.00835073068894,3.07643312101911,1
