hvns & hvns-tuned & dabc & dabc-tuned & acols-lowEva & ils-neh \\ 
hvns &  & / & >/>> & >>/>> & / & >>/>> \\ 
hvns-tuned & / &  & >/>> & >>/>> & / & >>/>> \\ 
dabc & </<< & </<< &  & / & >/> & >>/>> \\ 
dabc-tuned & <</<< & <</<< & / &  & >/>> & >>/>> \\ 
acols-lowEva & / & / & </< & </<< &  & >>/>> \\ 
ils-neh & <</<< & <</<< & <</<< & <</<< & <</<< &  \\ 
