instance,hvns,dabc,acols.lowEva,ils.neh,hvns.tuned,dabc.tuned
f2total-150-m2const-bufm1-big-124-2,5,3,4,1,6,2
f2total-150-m2const-bufm1-big-125-1,4,3,6,1,5,2
f2total-150-m2const-bufm1-big-126-3,4,3,5.42651200534633,1,4.86670008114945,2
f2total-150-m2const-bufm1-mid-124-2,4.95324791829598,1.91114229194461,1.79107052491144,1,4.66878364079679,1.85835671895845
f2total-150-m2const-bufm1-mid-125-1,4,2.81616512114866,5.16482201615315,1,4.93825605743344,2
f2total-150-m2const-bufm1-mid-126-3,4,2,4.6177894975201,1,4.38102716561604,2.70316262603391
f2total-150-m2const-bufm1-small-124-2,5,3,3,1,6,2
f2total-150-m2const-bufm1-small-125-1,4.01507544581618,2.31648834019204,4.85432098765432,1,3.6534842249657,2
f2total-150-m2const-bufm1-small-126-3,4.0690018681612,1.05951427808914,1.05951427808914,1,4.07117694155325,1.05951427808914
f2total-50-m2const-bufcount-big-3-1,1,1,1,1,1,1
f2total-50-m2const-bufcount-big-3-2,1,1,1,1,1,1
f2total-50-m2const-bufcount-big-3-3,1,1,1,1,1,1
f2total-50-m2const-bufcount-mid-3-1,1,1,1,1.01754256106588,1,1
f2total-50-m2const-bufcount-mid-3-2,4,6,2,1,3,5
f2total-50-m2const-bufcount-mid-3-3,4,6,2,1,3,5
f2total-50-m2const-bufcount-small-3-1,1,1,1,1,1,1
f2total-50-m2const-bufcount-small-3-2,1,1,1,1,1,1
f2total-50-m2const-bufcount-small-3-3,1,1,1,1,1,1
f2total-50-m2const-bufm1-big-120-2,2.68176840524388,2.73586558618314,3.48778198429333,1,2,3.02199555708518
f2total-50-m2const-bufm1-big-124-1,1.81842821607922,1.97381142347585,2.06496691228235,1,2.006265546534,1.57388416952175
f2total-50-m2const-bufm1-big-139-3,2.41318762278978,2.76245088408643,3.83511787819251,1,2,2.87384577603142
f2total-50-m2const-bufm1-mid-120-2,3,4,6,1,2,4.58123439981846
f2total-50-m2const-bufm1-mid-124-1,2.1241633158809,1.95949902209696,2.18914223933721,1,2.25174625542099,1.60105200500492
f2total-50-m2const-bufm1-mid-139-3,2.61251981941636,2.85248302489681,3.44928044928044,1,2.6829135449825,2
f2total-50-m2const-bufm1-small-120-2,5,1.7412759957703,1.7412759957703,1,6,1.7412759957703
f2total-50-m2const-bufm1-small-124-1,6,1.63009404388713,1.63009404388713,1,5,1.47219930704504
f2total-50-m2const-bufm1-small-139-3,6,3,4,1.47711542755079,5,1
