criteria,hvns,hvns.tuned,dabc,dabc.tuned,acols.lowEva,ils.neh
pcFE,2.24163688431188,2.00119123786808,2.05057025868575,1.91700843987917,1.64738708480649,1.07102098128341
pcNT,2.39099030880903,2.21224573038154,1.62906707502192,1.9560274371028,1.64196947198554,1.08502968739442
ertFE,2.50307623376051,2.30493445692955,2.97607080830868,3.1198295713129,1.96809707389805,1.24693366511794
ertNT,2.41876142438389,2.26631009471229,1.92454677232124,2.75276313413396,2.05733835464152,1.47387637319139
ecdfFE,1.29759530777731,1.26681939378858,1.17431447854875,1.2458229879552,1.25814533373592,1.00145527148876
ecdfNT,1.33251631468858,1.3102270495577,1.13867848611635,1.24013364188857,1.26513960088402,1.00219625405456
