criteria,hvns,hvns.tuned,dabc,dabc.tuned,acols.lowEva,ils.neh
pcFE,2.31420265794243,2.4132052324377,1.70147179576972,1.5495444114819,2.18419404929366,1.00048278731025
pcNT,2.70806814142951,2.84392786031939,1.55342362138046,1.67027320778899,2.36658609865262,1.0021052758768
ertFE,2.89516966778552,2.91715735650034,3.27623990847805,3.04996105786849,3.04200495096839,1.00665141035075
ertNT,2.7667798520209,2.81791701235805,1.95717977559362,2.05799016438555,2.98328230043549,1.05474514991182
ecdfFE,1.24939250450909,1.28607097055025,1.20289483322858,1.17349027804792,1.57074577565292,1.00018185124568
ecdfNT,1.35313450363405,1.42276427310388,1.19161197605091,1.16745715611763,1.68763784934931,1.00103280342972
