criteria,hvns,hvns.tuned,dabc,dabc.tuned,acols.lowEva,ils.neh
pcFE,2.09295588589712,1.98137118243388,1.67754026294563,1.50178354030512,2.18506677381132,1.01949798279239
pcNT,2.14487843697295,2.13682351280401,1.44785881677145,1.49749665241132,2.16530295505938,1.01982168610243
ertFE,2.46267919502808,2.53804184033143,2.95116690624239,2.89165918668166,2.74394388931012,1.08851457645765
ertNT,2.28067122651469,2.36484412012934,1.85049466928997,2.25544398536428,2.75948302942223,1.21941523368607
ecdfFE,1.30080871729659,1.24735447625682,1.29949895889245,1.27176690728053,1.49124006310923,1.00011291779584
ecdfNT,1.35587721043962,1.32567664095554,1.29374369046511,1.2406459086282,1.55808640849283,1.00073657202431
