instance,hvns,dabc,acols-lowEva,ils-neh,hvns-tuned,dabc-tuned
f2total-150-m2const-bufcount-big-3-3,11401,11401,11401,11401,11401,11401
f2total-150-m2const-bufcount-mid-3-1,7309,7309,7309,7309,7309,7309
f2total-150-m2const-bufcount-mid-3-2,7649,7649,7655,7649,7649,7649
f2total-150-m2const-bufcount-mid-3-3,7524.7,7521,7592.2,7518,7523.4,7518
f2total-150-m2const-bufcount-small-3-1,7290,7290,7290,7290,7290,7290
f2total-150-m2const-bufcount-small-3-2,7623,7623,7623,7623,7623,7623
f2total-150-m2const-bufcount-small-3-3,7494,7494,7494,7494,7494,7494
f2total-150-m2const-bufm1-big-124-2,11964.2,11964,11986,11909.2,11966.1,11954.2
f2total-150-m2const-bufm1-big-125-1,11564.3,11512.8,11731.5,11470,11568.1,11515.9
f2total-150-m2const-bufm1-big-126-3,11600,11590.4,11696,11549.2,11624.2,11591.5
f2total-150-m2const-bufm1-mid-124-2,8887.1,8731.4,8725,8612.4,8826.5,8648.2
f2total-150-m2const-bufm1-mid-125-1,7974.1,7873.2,8143,7781.9,7943.9,7873.4
f2total-150-m2const-bufm1-mid-126-3,8608.8,8469.1,8769,8388,8598.8,8474.8
f2total-150-m2const-bufm1-small-124-2,7673.8,7638,7638,7623,7676.8,7623
f2total-150-m2const-bufm1-small-125-1,7303.4,7293,7353,7290,7301.1,7290.6
f2total-150-m2const-bufm1-small-126-3,7515,7495,7495,7494,7511.1,7495
f2total-50-m2const-bufcount-big-3-1,3702,3702,3702,3702,3702,3702
f2total-50-m2const-bufcount-big-3-2,3851,3851,3851,3851,3851,3851
f2total-50-m2const-bufcount-big-3-3,3900,3900,3900,3900,3900,3900
f2total-50-m2const-bufcount-mid-3-1,2702,2702,2702,2702,2702,2702
f2total-50-m2const-bufcount-mid-3-2,2501,2501,2501,2501,2501,2501
f2total-50-m2const-bufcount-mid-3-3,2900,2900,2900,2900,2900,2900
f2total-50-m2const-bufcount-small-3-1,2562,2562,2562,2562,2562,2562
f2total-50-m2const-bufcount-small-3-2,2454,2454,2454,2454,2454,2454
f2total-50-m2const-bufcount-small-3-3,2876,2876,2876,2876,2876,2876
f2total-50-m2const-bufm1-big-120-2,3919.1,3918.6,3922.1,3909.8,3917.4,3924
f2total-50-m2const-bufm1-big-124-1,3778,3774.8,3783.9,3762.3,3779,3774.4
f2total-50-m2const-bufm1-big-139-3,3958.4,3955,3963,3943.5,3954.4,3962.5
f2total-50-m2const-bufm1-mid-120-2,2873.1,2876.6,2902.7,2839.1,2872.9,2888.2
f2total-50-m2const-bufm1-mid-124-1,3011.1,3009.7,3031.3,2976.8,3018.9,3009.8
f2total-50-m2const-bufm1-mid-139-3,3238.7,3228.3,3243.5,3211.1,3238.4,3234.4
f2total-50-m2const-bufm1-small-120-2,2460.3,2455,2454.9,2454,2461.1,2455
f2total-50-m2const-bufm1-small-124-1,2570.7,2563.8,2564,2562,2568.5,2563.6
f2total-50-m2const-bufm1-small-139-3,2905.3,2884.3,2897.9,2880.6,2903,2880
