Group.1,hvns,dabc,acols-lowEva,numberOfJobs
50,1.00549588833674,1.00399260150532,1.005982062789,50
100,1.00799348079987,1.00541717216482,1.01400894021108,100
150,1.00945471719124,1.00515466302067,1.01373904480639,150
