instance,hvns,dabc,acols-lowEva,ils-neh,hvns-tuned,dabc-tuned
f2total-150-m2const-bufcount-big-3-3,11401,11401,11401,11401,11401,11401
f2total-150-m2const-bufcount-mid-3-1,7309,7309,7309,7309,7309,7309
f2total-150-m2const-bufcount-mid-3-2,7651.6,7649,7655,7649,7651.5,7649.4
f2total-150-m2const-bufcount-mid-3-3,7527.3,7530.5,7600,7518,7529.5,7533.3
f2total-150-m2const-bufcount-small-3-1,7290,7290,7290,7290,7290,7290
f2total-150-m2const-bufcount-small-3-2,7623,7623,7623,7623,7623,7623
f2total-150-m2const-bufcount-small-3-3,7494,7494,7494,7494,7494,7494
f2total-150-m2const-bufm1-big-124-2,11990.8,11978.6,11986,11910.8,11997.3,11976.4
f2total-150-m2const-bufm1-big-125-1,11612.2,11536.6,11733,11473.6,11624.4,11525.4
f2total-150-m2const-bufm1-big-126-3,11641.2,11622.2,11696,11555.5,11662.2,11609.5
f2total-150-m2const-bufm1-mid-124-2,9025.3,8737,8725,8640.7,9002.6,8734.8
f2total-150-m2const-bufm1-mid-125-1,8110.5,7910.8,8143,7830.5,8142.7,7897
f2total-150-m2const-bufm1-mid-126-3,8710.2,8516.4,8769,8429,8751,8511.1
f2total-150-m2const-bufm1-small-124-2,7694.6,7638,7638,7623,7700,7638
f2total-150-m2const-bufm1-small-125-1,7322.4,7301.2,7353,7290,7309.2,7298.3
f2total-150-m2const-bufm1-small-126-3,7532.4,7495,7495,7494,7533.6,7495
f2total-50-m2const-bufcount-big-3-1,3702,3702,3702,3702,3702,3702
f2total-50-m2const-bufcount-big-3-2,3851,3851,3851,3851,3851,3851
f2total-50-m2const-bufcount-big-3-3,3900,3900,3900,3900,3900,3900
f2total-50-m2const-bufcount-mid-3-1,2702,2702,2702,2702,2702,2702
f2total-50-m2const-bufcount-mid-3-2,2501,2501,2501,2501,2501,2501
f2total-50-m2const-bufcount-mid-3-3,2900,2900,2900,2900,2900,2900
f2total-50-m2const-bufcount-small-3-1,2562,2562,2562,2562,2562,2562
f2total-50-m2const-bufcount-small-3-2,2454,2454,2454,2454,2454,2454
f2total-50-m2const-bufcount-small-3-3,2876,2876,2876,2876,2876,2876
f2total-50-m2const-bufm1-big-120-2,3922.3,3922.1,3925.1,3911.4,3919,3924.4
f2total-50-m2const-bufm1-big-124-1,3778.4,3782.2,3784.8,3763.4,3780.9,3775
f2total-50-m2const-bufm1-big-139-3,3959.3,3960.7,3968.3,3945,3956,3963
f2total-50-m2const-bufm1-mid-120-2,2879.2,2895.9,2917.9,2843.5,2881.6,2890.5
f2total-50-m2const-bufm1-mid-124-1,3019.7,3026.4,3032.6,2992.6,3026.3,3010.1
f2total-50-m2const-bufm1-mid-139-3,3245.4,3255.1,3258.6,3216.3,3245.8,3238.6
f2total-50-m2const-bufm1-small-120-2,2461.8,2455,2455,2454.2,2461.9,2455
f2total-50-m2const-bufm1-small-124-1,2572.9,2564,2564,2562.3,2572,2563.8
f2total-50-m2const-bufm1-small-139-3,2909.8,2905.5,2905.3,2884,2908.7,2880.1
