instance,hvns,dabc,acols.lowEva,ils.neh,dabc.tuned,hvns.tuned
f2total-150-m2const-bufcount-big-3-1-normal,1,1,1,1,1,1
f2total-150-m2const-bufcount-big-3-2-normal,1,1.01512872688667,1,1,1.01512872688667,1
f2total-150-m2const-bufcount-big-3-3-normal,1,1,1,1,1,1
f2total-150-m2const-bufcount-mid-3-1-normal,1,1.02723166843783,1.00004427913567,1.06633014523558,1.02723166843783,1
f2total-150-m2const-bufcount-mid-3-2-normal,1,1,1,1,1,1
f2total-150-m2const-bufcount-mid-3-3-normal,1,1,1,1,1,1
f2total-150-m2const-bufcount-small-3-1-normal,1,1,1,1,1,1
f2total-150-m2const-bufcount-small-3-2-normal,1,1.01271186440678,1.20594985875735,1,1.01271186440678,1
f2total-150-m2const-bufcount-small-3-3-normal,1,1,1,1,1,1
f2total-150-m2const-bufm1-big-170-3-normal,1,1,1,1,1,1
f2total-150-m2const-bufm1-big-174-1-normal,1,1,1,1,1,1
f2total-150-m2const-bufm1-big-179-2-normal,1,1,1,1,1,1
f2total-150-m2const-bufm1-mid-119-1-normal,2,6,4,1,5,3
f2total-150-m2const-bufm1-mid-125-2-normal,3,5,4,1,6,2
f2total-150-m2const-bufm1-mid-133-3-normal,2,4,6,1,5,3
f2total-150-m2const-bufm1-small-68-3-normal,3,5,6,1,4,2
f2total-150-m2const-bufm1-small-71-2-normal,3,5,6,1,4,2
f2total-150-m2const-bufm1-small-76-1-normal,3,5,6,1,4,2
f2total-50-m2const-bufcount-big-3-1-normal,1,1,1,1,1,1
f2total-50-m2const-bufcount-big-3-2-normal,1,1,1,1,1,1
f2total-50-m2const-bufcount-big-3-3-normal,1,1,1,1,1,1
f2total-50-m2const-bufcount-mid-3-1-normal,1,1,1,1.01625049544194,1,1
f2total-50-m2const-bufcount-mid-3-2-normal,1,1,1,1,1,1
f2total-50-m2const-bufcount-mid-3-3-normal,1,1.01384493670886,1,1.01437236286921,1.01384493670886,1
f2total-50-m2const-bufcount-small-3-1-normal,1,1,1,1,1,1
f2total-50-m2const-bufcount-small-3-2-normal,1,1,1,1,1,1
f2total-50-m2const-bufcount-small-3-3-normal,1,1,1,1,1,1
f2total-50-m2const-bufm1-big-166-3-normal,1,1,1,1,1,1
f2total-50-m2const-bufm1-big-171-2-normal,1,1,1,1,1,1
f2total-50-m2const-bufm1-big-174-1-normal,1,1,1,1,1,1
f2total-50-m2const-bufm1-mid-111-1-normal,1,6,4,2.74999999999651,5,1
f2total-50-m2const-bufm1-mid-114-3-normal,5,4,2,1,6,3
f2total-50-m2const-bufm1-mid-121-2-normal,4,3,2,1,6,5
f2total-50-m2const-bufm1-small-67-1-normal,3,4,5,1,5.68858029250865,2
f2total-50-m2const-bufm1-small-69-3-normal,2,4.67263306641887,4,1,4.86340084786117,3
f2total-50-m2const-bufm1-small-74-2-normal,2,4,6,1,5,3
