instance,hvns,dabc,acols.lowEva,ils.neh,dabc.tuned,hvns.tuned
f2total-100-m2const-bufm1-mid-121-3-normal,1.72091141373186,3.22889259909221,2.37666255768428,1,3.56939234600381,2.09502037261952
f2total-100-m2const-bufm1-mid-122-2-normal,3,5,6,1,4,2
f2total-100-m2const-bufm1-small-64-2-normal,4,2,6,1,3,4.45356921319033
f2total-100-m2const-bufm1-small-71-1-normal,4,2,6,1,3,5
f2total-100-m2const-bufm1-small-75-3-normal,3,4,6,1,5,2
f2total-150-m2const-bufcount-big-3-1-normal,1,1,1,1,1,1
f2total-150-m2const-bufcount-big-3-2-normal,1,1.00595901965637,1.00069124272367,1,1.00594965902716,1
f2total-150-m2const-bufcount-big-3-3-normal,1,1,1,1.00016407131241,1,1
f2total-150-m2const-bufcount-mid-3-1-normal,1,1.01055939388063,1.00586507585326,1.09282529425048,1.0105782119706,1
f2total-150-m2const-bufcount-mid-3-2-normal,1,1,1,1.00003585160601,1,1
f2total-150-m2const-bufcount-mid-3-3-normal,1,1,1,1,1,1
f2total-150-m2const-bufcount-small-3-1-normal,1,1,1,1,1,1
f2total-150-m2const-bufcount-small-3-2-normal,1,1.00494026676636,1.21306899889328,1.00021130502881,1.00494093988336,1
f2total-150-m2const-bufcount-small-3-3-normal,1,1,1,1.00043023498831,1,1
f2total-150-m2const-bufm1-big-170-3-normal,1,1,1,1,1,1
f2total-150-m2const-bufm1-big-174-1-normal,1,1,1,1,1,1
f2total-150-m2const-bufm1-big-179-2-normal,1,1,1,1,1,1
f2total-150-m2const-bufm1-mid-119-1-normal,2,5,4,1,6,3
f2total-150-m2const-bufm1-mid-125-2-normal,3,5,6,1,4,2
f2total-150-m2const-bufm1-mid-133-3-normal,2,5,6,1,4,2.96858000686509
f2total-150-m2const-bufm1-small-68-3-normal,5,2,6,1,3,4
f2total-150-m2const-bufm1-small-71-2-normal,5,3,6,1,2,4
f2total-150-m2const-bufm1-small-76-1-normal,5,3,6,1,2,4
f2total-50-m2const-bufcount-big-3-1-normal,1,1,1,1,1,1
f2total-50-m2const-bufcount-big-3-2-normal,1,1,1,1,1,1
f2total-50-m2const-bufcount-big-3-3-normal,1,1,1,1,1,1
f2total-50-m2const-bufcount-mid-3-1-normal,1,1,1,1.02925676369989,1,1
f2total-50-m2const-bufcount-mid-3-2-normal,1,1,1,1.00120316010727,1,1
f2total-50-m2const-bufcount-mid-3-3-normal,1,1.00553797468354,1.00404360056259,1.02618670886076,1.00553797468354,1
f2total-50-m2const-bufcount-small-3-1-normal,1,1,1,1,1,1
f2total-50-m2const-bufcount-small-3-2-normal,1,1,1,1,1,1
f2total-50-m2const-bufcount-small-3-3-normal,1,1,1,1,1,1
f2total-50-m2const-bufm1-big-166-3-normal,1,1,1,1,1,1
f2total-50-m2const-bufm1-big-171-2-normal,1,1,1,1,1,1
f2total-50-m2const-bufm1-big-174-1-normal,1,1,1,1,1,1
f2total-50-m2const-bufm1-mid-111-1-normal,1,4,6,1.74305555555367,5,1
f2total-50-m2const-bufm1-mid-114-3-normal,4.73222124671618,1.42714419787902,2.59701492537818,1,6,3.98361135499081
f2total-50-m2const-bufm1-mid-121-2-normal,4,2,3,1,6,5
f2total-50-m2const-bufm1-small-67-1-normal,3.56748396720501,3,5,1,5.53888609511608,2
f2total-50-m2const-bufm1-small-69-3-normal,2,3.61495682632534,4.46386115517727,1,4.51503649845097,3
f2total-50-m2const-bufm1-small-74-2-normal,3,2,6,1,5,4
