instance,hvns,dabc,acols.lowEva,ils.neh,dabc.tuned,hvns.tuned
f2total-100-m2const-bufcount-mid-3-3-normal,1,1.26555555555556,1.12111111111111,1.67222222222222,1.26555555555556,1
f2total-100-m2const-bufcount-small-3-1-normal,1,1.25,1.25,1.105,1.25,1
f2total-100-m2const-bufcount-small-3-2-normal,1.66666666666667,1.66666666666667,1.66666666666667,1,1.66666666666667,1.66666666666667
f2total-100-m2const-bufcount-small-3-3-normal,1.05820105820106,1.32275132275132,1.32275132275132,1,1.32275132275132,1.05820105820106
f2total-100-m2const-bufm1-big-170-1-normal,1.33333333333333,1.66666666666667,1.66666666666667,1,1.66666666666667,1.33333333333333
f2total-100-m2const-bufm1-big-171-2-normal,1.5,1.66666666666667,1.66666666666667,1,1.66666666666667,1.5
f2total-100-m2const-bufm1-big-177-3-normal,1.5,1.66666666666667,1.66666666666667,1,1.66666666666667,1.5
f2total-100-m2const-bufm1-mid-115-1-normal,5,3,1,1.59253903990746,6,4
f2total-100-m2const-bufm1-mid-121-3-normal,1.9994374187316,5,1,1.99931211744874,6,3.49882680613777
f2total-100-m2const-bufm1-mid-122-2-normal,2,6,4,1,5,3
f2total-100-m2const-bufm1-small-64-2-normal,2,4,6,1,5,3
f2total-100-m2const-bufm1-small-71-1-normal,3,2,6,1,5,4
f2total-100-m2const-bufm1-small-75-3-normal,4,3,6,1,5,2
f2total-150-m2const-bufcount-big-3-1-normal,1.22282608695652,1.35869565217391,1.35869565217391,1,1.35869565217391,1.22282608695652
f2total-150-m2const-bufcount-big-3-2-normal,1.40449438202247,1.90730337078652,1.46769662921348,1,1.90730337078652,1.40449438202247
f2total-150-m2const-bufcount-big-3-3-normal,1.1166253101737,1.24069478908189,1.24069478908189,1,1.24069478908189,1.1166253101737
f2total-150-m2const-bufcount-mid-3-1-normal,1,1.27555555555556,1.19777777777778,2.37333333333333,1.27666666666667,1
f2total-150-m2const-bufcount-mid-3-2-normal,1.20320855614973,1.33689839572193,1.33689839572193,1,1.33689839572193,1.20320855614973
f2total-150-m2const-bufcount-mid-3-3-normal,1.10974106041924,1.23304562268804,1.23304562268804,1,1.23304562268804,1.10974106041924
f2total-150-m2const-bufcount-small-3-1-normal,1.06951871657754,1.33689839572193,1.33689839572193,1,1.33689839572193,1.06951871657754
f2total-150-m2const-bufcount-small-3-2-normal,1.1378002528445,1.40581542351454,6,1,1.40581542351454,1.1378002528445
f2total-150-m2const-bufcount-small-3-3-normal,1.02564102564103,1.28205128205128,1.28205128205128,1,1.28205128205128,1.02564102564103
f2total-150-m2const-bufm1-big-170-3-normal,1.5,1.83333333333333,1.83333333333333,1,1.83333333333333,1.5
f2total-150-m2const-bufm1-big-174-1-normal,1.5,1.83333333333333,1.83333333333333,1,1.83333333333333,1.5
f2total-150-m2const-bufm1-big-179-2-normal,1.66666666666667,1.66666666666667,1.66666666666667,1,1.66666666666667,1.5
f2total-150-m2const-bufm1-mid-119-1-normal,2,5,4,1,6,2.72931442080378
f2total-150-m2const-bufm1-mid-125-2-normal,2,5,6,1,4,3
f2total-150-m2const-bufm1-mid-133-3-normal,2,5,6,1,4,3
f2total-150-m2const-bufm1-small-68-3-normal,3,4,6,1,5,2
f2total-150-m2const-bufm1-small-71-2-normal,3,2,6,1,5,4
f2total-150-m2const-bufm1-small-76-1-normal,3,4,6,1,5,2
f2total-50-m2const-bufcount-big-3-1-normal,1.125,1.25,1.25,1,1.25,1.125
f2total-50-m2const-bufcount-big-3-2-normal,1.125,1.25,1.25,1,1.25,1.125
f2total-50-m2const-bufcount-big-3-3-normal,1.125,1.25,1.25,1,1.25,1.125
f2total-50-m2const-bufcount-mid-3-1-normal,1,1.11111111111111,1.11111111111111,4.64777777777778,1.11111111111111,1
f2total-50-m2const-bufcount-mid-3-2-normal,1,1.11111111111111,1.11111111111111,1.14777777777778,1.11111111111111,1
f2total-50-m2const-bufcount-mid-3-3-normal,1,1.43666666666667,1.33888888888889,2.70222222222222,1.43666666666667,1
f2total-50-m2const-bufcount-small-3-1-normal,1,1.11111111111111,1.11111111111111,1.15777777777778,1.11111111111111,1
f2total-50-m2const-bufcount-small-3-2-normal,1,1.375,1.25,1.27375,1.25,1
f2total-50-m2const-bufcount-small-3-3-normal,1,1.25,1.25,1.1725,1.25,1
f2total-50-m2const-bufm1-big-166-3-normal,1,1.25,1.25,1,1.25,1
f2total-50-m2const-bufm1-big-171-2-normal,1.125,1.25,1.25,1,1.25,1.125
f2total-50-m2const-bufm1-big-174-1-normal,1.125,1.25,1.25,1,1.25,1.125
f2total-50-m2const-bufm1-mid-111-1-normal,1,4,5.94896030245747,1.43824826717076,5,1.00094517958412
f2total-50-m2const-bufm1-mid-114-3-normal,4.30683558401782,1.3810385632744,2.39579562856745,1,6,3.6449951273841
f2total-50-m2const-bufm1-mid-121-2-normal,4,1.99433106575964,3,1,6,5
f2total-50-m2const-bufm1-small-67-1-normal,3,4,5,1,6,2
f2total-50-m2const-bufm1-small-69-3-normal,2,4,5,1,6,3
f2total-50-m2const-bufm1-small-74-2-normal,4,2,6,1,5,3
