criteria,hvns,dabc.tuned,dabc,hvns.tuned,acols.lowEva,ils.neh
pcFE,2.14526597041452,1.94600135788113,2.11861625754193,2.14221492114705,2.10682314553988,1.03069354574216
pcNT,2.25112522302669,1.9075373797716,1.64685511231799,2.21804263025691,2.1504867333369,1.02989027648237
ertFE,2.56727872366662,3.24707190709463,3.11819787205952,2.65987817940115,2.08823667770848,1.04304946647557
ertNT,2.52708213743231,2.50187889996047,1.96018579989232,2.65206517597137,1.99121468017264,1.20089771418126
ecdfFE,1.04465898591406,1.16288665324208,1.1421597870549,1.11399352672529,1.37027220053935,1.00011246063878
ecdfNT,1.11877115202876,1.13545306680677,1.05800576367823,1.15010033185503,1.37166415198013,1.00048768404032
