instanceNames,johnsonBounds
f2inter-100-m2const-bufcount-big-1-1-normal,7709
f2inter-100-m2const-bufcount-big-1-2-normal,7574
f2inter-100-m2const-bufcount-big-1-3-normal,7549
f2inter-100-m2const-bufcount-mid-1-1-normal,5028
f2inter-100-m2const-bufcount-mid-1-2-normal,5023
f2inter-100-m2const-bufcount-mid-1-3-normal,5026
f2inter-100-m2const-bufcount-small-1-1-normal,2578
f2inter-100-m2const-bufcount-small-1-2-normal,2501
f2inter-100-m2const-bufcount-small-1-3-normal,2673
f2inter-100-m2const-bufm1-big-67-3-normal,7549
f2inter-100-m2const-bufm1-big-69-2-normal,7574
f2inter-100-m2const-bufm1-big-70-1-normal,7709
f2inter-100-m2const-bufm1-mid-41-2-normal,5023
f2inter-100-m2const-bufm1-mid-42-3-normal,5026
f2inter-100-m2const-bufm1-mid-43-1-normal,5028
f2inter-100-m2const-bufm1-small-17-2-normal,2501
f2inter-100-m2const-bufm1-small-18-1-normal,2578
f2inter-100-m2const-bufm1-small-20-3-normal,2673
f2inter-150-m2const-bufcount-big-1-1-normal,11541
f2inter-150-m2const-bufcount-big-1-2-normal,11303
f2inter-150-m2const-bufcount-big-1-3-normal,11505
f2inter-150-m2const-bufcount-mid-1-1-normal,7528
f2inter-150-m2const-bufcount-mid-1-2-normal,7698
f2inter-150-m2const-bufcount-mid-1-3-normal,7784
f2inter-150-m2const-bufcount-small-1-1-normal,4052
f2inter-150-m2const-bufcount-small-1-2-normal,3776
f2inter-150-m2const-bufcount-small-1-3-normal,3926
f2inter-150-m2const-bufm1-big-69-2-normal,11303
f2inter-150-m2const-bufm1-big-69-3-normal,11505
f2inter-150-m2const-bufm1-big-70-1-normal,11541
f2inter-150-m2const-bufm1-mid-43-1-normal,7528
f2inter-150-m2const-bufm1-mid-43-2-normal,7698
f2inter-150-m2const-bufm1-mid-46-3-normal,7784
f2inter-150-m2const-bufm1-small-19-2-normal,3776
f2inter-150-m2const-bufm1-small-20-3-normal,3926
f2inter-150-m2const-bufm1-small-21-1-normal,4052
f2inter-50-m2const-bufcount-big-1-1-normal,3929
f2inter-50-m2const-bufcount-big-1-2-normal,3925
f2inter-50-m2const-bufcount-big-1-3-normal,3886
f2inter-50-m2const-bufcount-mid-1-1-normal,2523
f2inter-50-m2const-bufcount-mid-1-2-normal,2555
f2inter-50-m2const-bufcount-mid-1-3-normal,2528
f2inter-50-m2const-bufcount-small-1-1-normal,1250
f2inter-50-m2const-bufcount-small-1-2-normal,1347
f2inter-50-m2const-bufcount-small-1-3-normal,1357
f2inter-50-m2const-bufm1-big-71-1-normal,3929
f2inter-50-m2const-bufm1-big-71-2-normal,3925
f2inter-50-m2const-bufm1-big-71-3-normal,3886
f2inter-50-m2const-bufm1-mid-43-1-normal,2523
f2inter-50-m2const-bufm1-mid-44-2-normal,2555
f2inter-50-m2const-bufm1-mid-44-3-normal,2528
f2inter-50-m2const-bufm1-small-13-1-normal,1250
f2inter-50-m2const-bufm1-small-20-2-normal,1347
f2inter-50-m2const-bufm1-small-21-3-normal,1357
f2total-100-m2const-bufcount-big-3-1-normal,7709
f2total-100-m2const-bufcount-big-3-2-normal,7574
f2total-100-m2const-bufcount-big-3-3-normal,7549
f2total-100-m2const-bufcount-mid-3-1-normal,5028
f2total-100-m2const-bufcount-mid-3-2-normal,5023
f2total-100-m2const-bufcount-mid-3-3-normal,5026
f2total-100-m2const-bufcount-small-3-1-normal,2578
f2total-100-m2const-bufcount-small-3-2-normal,2501
f2total-100-m2const-bufcount-small-3-3-normal,2673
f2total-100-m2const-bufm1-big-170-1-normal,7709
f2total-100-m2const-bufm1-big-171-2-normal,7574
f2total-100-m2const-bufm1-big-177-3-normal,7549
f2total-100-m2const-bufm1-mid-115-1-normal,5028
f2total-100-m2const-bufm1-mid-121-3-normal,5026
f2total-100-m2const-bufm1-mid-122-2-normal,5023
f2total-100-m2const-bufm1-small-64-2-normal,2501
f2total-100-m2const-bufm1-small-71-1-normal,2578
f2total-100-m2const-bufm1-small-75-3-normal,2673
f2total-150-m2const-bufcount-big-3-1-normal,11541
f2total-150-m2const-bufcount-big-3-2-normal,11303
f2total-150-m2const-bufcount-big-3-3-normal,11505
f2total-150-m2const-bufcount-mid-3-1-normal,7528
f2total-150-m2const-bufcount-mid-3-2-normal,7698
f2total-150-m2const-bufcount-mid-3-3-normal,7784
f2total-150-m2const-bufcount-small-3-1-normal,4052
f2total-150-m2const-bufcount-small-3-2-normal,3776
f2total-150-m2const-bufcount-small-3-3-normal,3926
f2total-150-m2const-bufm1-big-170-3-normal,11505
f2total-150-m2const-bufm1-big-174-1-normal,11541
f2total-150-m2const-bufm1-big-179-2-normal,11303
f2total-150-m2const-bufm1-mid-119-1-normal,7528
f2total-150-m2const-bufm1-mid-125-2-normal,7698
f2total-150-m2const-bufm1-mid-133-3-normal,7784
f2total-150-m2const-bufm1-small-68-3-normal,3926
f2total-150-m2const-bufm1-small-71-2-normal,3776
f2total-150-m2const-bufm1-small-76-1-normal,4052
f2total-50-m2const-bufcount-big-3-1-normal,3929
f2total-50-m2const-bufcount-big-3-2-normal,3925
f2total-50-m2const-bufcount-big-3-3-normal,3886
f2total-50-m2const-bufcount-mid-3-1-normal,2523
f2total-50-m2const-bufcount-mid-3-2-normal,2555
f2total-50-m2const-bufcount-mid-3-3-normal,2528
f2total-50-m2const-bufcount-small-3-1-normal,1250
f2total-50-m2const-bufcount-small-3-2-normal,1347
f2total-50-m2const-bufcount-small-3-3-normal,1357
f2total-50-m2const-bufm1-big-166-3-normal,3886
f2total-50-m2const-bufm1-big-171-2-normal,3925
f2total-50-m2const-bufm1-big-174-1-normal,3929
f2total-50-m2const-bufm1-mid-111-1-normal,2523
f2total-50-m2const-bufm1-mid-114-3-normal,2528
f2total-50-m2const-bufm1-mid-121-2-normal,2555
f2total-50-m2const-bufm1-small-67-1-normal,1250
f2total-50-m2const-bufm1-small-69-3-normal,1357
f2total-50-m2const-bufm1-small-74-2-normal,1347
