criteria,hvns,dabc.tuned,dabc,hvns.tuned,acols.lowEva,ils.neh
pcFE,1.76283586981632,1.7941692728129,1.89200373934161,1.69406342259688,2.02953119998111,1.00320768898282
pcNT,1.887831901888,1.58134075871733,1.62921414506944,1.87348045603663,2.04572633570334,1.00679374444237
ertFE,2.59033703163384,3.35259856417793,3.50679667118133,2.69973812605757,2.71443356259959,1.03248609271523
ertNT,2.42973960855611,2.16869345899381,1.93564801667622,2.5564798239488,2.62132287837185,1.08527160493827
ecdfFE,1.06717419228287,1.07389947952921,1.0486032678741,1.06970514597348,1.23553534164828,1.00011291779584
ecdfNT,1.08530572398252,1.07438074446624,1.04587880442319,1.09051466135112,1.26010527050804,1.00022583559169
