criteria,hvns,dabc.tuned,dabc,hvns.tuned,acols.lowEva,ils.neh
pcFE,1.77879743061167,2.21054641704965,1.85278674832879,1.94289428012963,1.54072155204979,1.08643676940836
pcNT,1.8702326088979,2.16847218174817,1.55703269371032,1.99765793305211,1.61555943295761,1.0572683975934
ertFE,2.24646766966603,3.25784196894891,2.86264885837175,2.38901306486813,1.67235305020907,1.26804731404141
ertNT,2.25007876622272,2.40333333333333,1.77831273660897,2.41010945297134,1.76812730051906,1.48359360307766
ecdfFE,1.03128714137253,1.12519014940974,1.05375176762277,1.01775220563469,1.12156097217709,1.00003723562705
ecdfNT,1.03427483028468,1.12046243068853,1.03313077893407,1.02156279991166,1.12267620891091,1
